Family;Genus;Species;Taxonomic.status;UpdatedFamily;Checked_Genus;Checked_Epithet;UpdatedPlantSpecies;Fruit type;Fruit length (mm);Fruit diameter (mm);Fruit weight (g);Mean number of seeds per fruit;Seed length (mm);Seed diameter (mm);Seed weight (g);Wood  density g/cm³;Wood density level;Tree size max;Diameter breast height (cm);Megafauna Fruit ;Mean Dispersal Distance (m);Max Dispersal Distance (m);Lat;Long;Biome;Country;Agouti species;Study focus;Methods for asseing dispersal;Seed monitoring time;Predation;Dispersal;Burial;Germination;Frugivory;Year;Citation;Full citation
Fabaceae;Geoffroea;Geoffraea spinosa;Accepted;Leguminosae;Geoffroea;spinosa;Geoffroea spinosa;;;;;;;;;0,67;Species;;;;;;03° 02' S;79° 14' W;Tropical dry forest;Ecuador;Dasyprocta punctata;;;;x;x;;;;2011;Jara-Guerrero et al. (2011);Jara?Guerrero, A., De la Cruz, M., & Méndez, M. (2011). Seed dispersal spectrum of woody species in south Ecuadorian dry forests: environmental correlates and the effect of considering species abundance. Biotropica, 43(6), 722-730.
Moraceae;Brosimum;Brosimum sp.;Genus-level;Moraceae;Brosimum;sp.;Brosimum sp.;;;;;;;;;0,67;Genus;;;;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2003;"Silvius; Fragoso, 2003";"Silvius, K.M.; Fragoso, J.M.V. 2003. Red-rumped agouti (Dasyprocta leporina) home range use in an Amazonn forest: Implications for the aggregated distribution of forest trees. Biotropica 35(1), pp. 74-83."
Burseraceae;Tetragastris;Protium stevensonii;Synonym;Burseraceae;Protium;stevensonii;Protium stevensonii;;;;;;;;0,22;0,65;Species;40;70;No;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2003;"Silvius; Fragoso, 2003";"Silvius, K.M.; Fragoso, J.M.V. 2003. Red-rumped agouti (Dasyprocta leporina) home range use in an Amazonn forest: Implications for the aggregated distribution of forest trees. Biotropica 35(1), pp. 74-83."
Calophyllaceae;Calophyllum;Calophyllum brasiliense;Accepted;Clusiaceae;Calophyllum;brasiliense;Calophyllum brasiliense;;23,6;24,7;;;20;20,6;1,1;0,646;Species;30;;No;;;;;;Nicaragua;Dasyprocta punctata;;;;;;;;;2011;Fung Mcleod (2011);Fung McLeod,E.M.(2011). Dispersi´on de semillas por mamíferos terrestres en bosques latifoliados del Atl´antico Norte de Nicaragua despu´es del hurac´an F´elix. Master Thesis: Turrialba, Costa Rica.
Meliaceae;Trichilia;Trichilia septentrionalis;Accepted;Meliaceae;Trichilia;septentrionalis;Trichilia septentrionalis;;;;;;15;12;4,92;0,64;Genus;20;;;;;15° 25' N;61° 20' W;;Dominica;Dasyprocta leporina;Agouti;Exclosure;;;;;;;2014;Taylor et al., 2014;"Taylor, B.; Ickes, K.; DeWalt, S.J. 2014. Seed removal by an introduced scatter-hoarder on a Caribbean island. Caribbean Journal of Science, 48(1):9-17."
Moraceae;Pseudolmedia;Pseudolmedia glabrata;Accepted;Moraceae;Pseudolmedia;glabrata;Pseudolmedia glabrata;;;;;;;26;6,3;0,64;Species;30;;;;;8° 47' N;82° 57' W;;Costa Rica;Dasyprocta punctata;;;;x;x;x;x;;2009;Cole (2009);Cole, R. J. (2009). Postdispersal seed fate of tropical montane trees in an agricultural landscape, southern Costa Rica. Biotropica, 41(3), 319-327.
Fabaceae;Andira;Andira inermis;Accepted;Leguminosae;Andira;inermis;Andira inermis;;;;;;;;0,79;0,64;Species;35;;;;;;;;;Dasyprocta sp.;;;;;;;;;1996;Pennington (1996);Pennington, R. T. (1996). Molecular and morphological data provide phylogenetic resolution at different hierarchical levels in Andira. Systematic Biology, 45(4), 496-515.
Sapotaceae;Pradosia;Pradosia surinamensis;Accepted;Sapotaceae;Pradosia;surinamensis;Pradosia surinamensis;;;;;;40;;;0,63;Species;30;;;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2003;"Silvius; Fragoso, 2003";"Silvius, K.M.; Fragoso, J.M.V. 2003. Red-rumped agouti (Dasyprocta leporina) home range use in an Amazonn forest: Implications for the aggregated distribution of forest trees. Biotropica 35(1), pp. 74-83."
Fabaceae;Piptadenia;Piptadenia gonoacantha;Accepted;Leguminosae;Piptadenia;gonoacantha;Piptadenia gonoacantha;;;;;;10;6;0,042;0,63;Species;20;;No;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
Malpighiaceae;Byrsonima;Byrsonima cydoniifolia;Accepted;Malpighiaceae;Byrsonima;cydoniifolia;Byrsonima cydoniifolia;;;;;;;;0,77;0,63;Genus;;;No;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Sapindaceae;Cupania;Cupania latifolia;Accepted;Sapindaceae;Cupania;latifolia;Cupania latifolia;;;;;;;;0,76;0,62;Species;26;48;No;;;;;;;Dasyprocta sp.;;;;x;;;;;1998;Forget et al., 1998;Forget, P.-M., Milleron, T. & Feer, F. 1998. Patterns in postdispersal seed removal by Neotropical rodents and seed fate in relation with seed size. In: Newbery, D.M., Prins, H.H.T. & Brown, N.D. (eds.) Dynamics of tropical communities, Symposium No. 37 of the British Ecological Society. Blackwell Science, Oxford.
Malvaceae;Sterculia;Sterculia chicha;Synonym;Malvaceae;Sterculia;apetala;Sterculia apetala;;132;90;;15;35;20;7,6;0,61;Species;20;55;No;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;x;x;x;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
Rosaceae;Prunus;Prunus subcorymbosa;Accepted;Rosaceae;Prunus;subcorymbosa;Prunus subcorymbosa;;;;;;;;;0,605;Genus;;;;;;03° 02' S;79° 14' W;Tropical dry forest;Ecuador;Dasyprocta punctata;;;;x;x;;;;2011;Jara-Guerrero et al. (2011);Jara?Guerrero, A., De la Cruz, M., & Méndez, M. (2011). Seed dispersal spectrum of woody species in south Ecuadorian dry forests: environmental correlates and the effect of considering species abundance. Biotropica, 43(6), 722-730.
Meliaceae;Carapa;Carapa procera;Accepted;Meliaceae;Carapa;procera;Carapa procera;capsule;;;;;34,5;;18,4;0,59;Species;77;60;;;;5° 18' N;52° 53' W;;French Guyana;Dasyprocta leporina;Rodents/Plant;Line;;x;x;x;x;;1996;Forget, 1996;Forget, P.-M. 1996. Removal of seeds of Carapa procera (Meliaceae) by rodents and their fate in rainforest in French Guiana. Journal of Tropical Ecology 12(6), pp. 751-761.
Meliaceae;Carapa;Carapa procera;Accepted;Meliaceae;Carapa;procera;Carapa procera;capsule;;;;;34,5;;18,4;0,59;Species;77;60;;;;5° 18' N;52° 53' W;Amazon;French Guyana;Dasyprocta leporina;Plant;;;x;x (83%);;;;2007;"Forget; Jansen, 2007";"Forget, P.M.; Jansen, P.A. 2007. Hunting increases dispersal limitation in the tree Carapa procera, a nontimber forest product. Conservation Biology 21(1), pp. 106-113."
Meliaceae;Carapa;Carapa procera;Accepted;Meliaceae;Carapa;procera;Carapa procera;capsule;;;;;34,5;;18,4;0,59;Species;77;60;;;;4° 02' N;52° 42' W;floresta tropical de várzea;French Guyana;Dasyprocta leporina;Rodents/Plant;;;x;x;x (6%);;;2004;Jansen et al., 2004;"Jansen, P.A.; Bongers, F.; Hemerik, L. 2004. Seed mass and mast seeding enhance dispersal by a neotropical scatter-hoarding rodent. Ecological Monographs, 74(4), pp. 569-589."
Fabaceae;Inga;Inga alba;Accepted;Leguminosae;Inga;alba;Inga alba;;;;;;;;;0,59;Species;40;;;;;1° 59' N;59° 43' W;Amazon;Guyana;Dasyprocta leporina;Plants;;;;;;;;2018;Cummings et al., 2018;Cummings, A. R., Read, J. M., & Fragoso, J. M. (2018). Implications of forest type and land tenure diversity for the sustainability of ecosystem services provided by northern Amazonia’s multiple-use tree species. Landscape ecology, 33(3), 423-438.
Clusiaceae;Symphonia;Symphonia globulifera;Accepted;Clusiaceae;Symphonia;globulifera;Symphonia globulifera;;;;;;;;6,6;0,58;Species;35;;;;;5° 18' N;52° 53' W;;French Guiana;Dasyprocta leporina;Gene dispersal;;;x;x;;;;2006;Hardy et al. (2006);Hardy, O. J., Maggia, L., Bandou, E., Breyne, P., Caron, H., CHEVALLIER, M. H., ... & Troispoux, V. (2006). Fine?scale genetic structure and gene dispersal inferences in 10 Neotropical tree species. Molecular ecology, 15(2), 559-571.
Meliaceae;Carapa;Carapa guianensis;Accepted;Meliaceae;Carapa;guianensis;Carapa guianensis;Nut;170;170;;8;50;50;19;0,56;Species;60;;;;;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Other;Line;6 meses;x;x;x;;;2000;Guariguata et al., 2000;"Guariguata, M.R.; Adame, J.J.R.; Finegan, B. 2000. Seed removal and fate in two selectively logged lowland forests with constrasting protection levels. Conservation Biology 14(4), pp. 1046-1054."
Meliaceae;Carapa;Carapa guianensis;Accepted;Meliaceae;Carapa;guianensis;Carapa guianensis;Nut;170;170;;8;50;50;19;0,56;Species;55;95;No;4;13;10° 26' N;84° 00' W;;Costa Rica;Dasyprocta punctata;Plant;Active search / Visual observation;;x;x;;x;;1983;"McHargue; Hartshorn, 1983";"McHargue, L.A.; Hartshorn, G.S. 1983. Seed and seedling ecology of Carapa guianensis. Turrialba 33(4), pp. 399-404."
Meliaceae;Carapa;Carapa guianensis;Accepted;Meliaceae;Carapa;guianensis;Carapa guianensis;Nut;170;170;;8;50;50;19;0,56;Species;60;95;No;;;;;;;Dasyprocta sp.;;;;x;x;;;;2017;Rosin (2017);Rosin, C. (2017). Plant-animal interactions and defaunation in tropical forests: how animal communities and anthropogenic disturbances drive patterns in seed predation, seedling damage, and the regeneration of tropical forest trees (Doctoral dissertation, Duke University).
Fabaceae;Dussia;Dussia martinicensis;Accepted;Leguminosae;Dussia;martinicensis;Dussia martinicensis;;;;;;44;29;21,38;0,56;Species;10;;Yes;;;15° 25' N;61° 20' W;;Dominica;Dasyprocta leporina;Agouti;Exclosure;;;;;;;2014;Taylor et al., 2014;"Taylor, B.; Ickes, K.; DeWalt, S.J. 2014. Seed removal by an introduced scatter-hoarder on a Caribbean island. Caribbean Journal of Science, 48(1):9-17."
Rubiaceae;Faramea;Faramea occidentalis;Accepted;Rubiaceae;Faramea;occidentalis;Faramea occidentalis;;;;;;10;9;0,29;0,56;Species;21;22;No;;;9° 10' N;79° 51' W;;Panama;Dasyprocta punctata;Plant;Line;;;;;;;1988;Schupp, 1988;Schupp, E.W. 1988. Seed and early seedling predation in the forest understory and in treefall gaps. Oikos 51(1), pp. 71-78.
Lamiaceae;Vitex;Vitex cymosa;Accepted;Lamiaceae;Vitex;cymosa;Vitex cymosa;;;;;;;;0,56;0,56;Species;25;;No;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Malvaceae;Matisia;Matisia bolivarii;Accepted;Malvaceae;Matisia;bolivarii;Matisia bolivarii;Drupe;100;;;;;;;0,56;Genus;40;;;;;01° 17' N;78° 15' W;Humid Premontane forest;Colombia;Dasyprocta punctata;Plant community;;;x;x;;;;2009;Vallejo & Galleano, 2009;Vallejo, M. I., & Galeano, G. (2009). cambios a corto plazo en los patrones de distribución espacial de nueve especies de plantas comunes en un bosque nublado al sur-occidente de colombia/Short-term temporal changes in the spatial patterns of nine species of common plants in an Andean cloud forest in southwestern Colombia. Caldasia, 77-98.
Connaraceae;Connarus;Connarus grandifolius;Accepted;Connaraceae;Connarus;grandifolius;Connarus grandifolius;;;;;;29;15;3,13;0,558;Genus;;;;;;15° 25' N;61° 20' W;;Dominica;Dasyprocta leporina;Agouti;Exclosure;;;;;;;2014;Taylor et al., 2014;"Taylor, B.; Ickes, K.; DeWalt, S.J. 2014. Seed removal by an introduced scatter-hoarder on a Caribbean island. Caribbean Journal of Science, 48(1):9-17."
Araucariaceae;Araucaria;Araucaria angustifolia;Accepted;Araucariaceae;Araucaria;angustifolia;Araucaria angustifolia;;140;140;3000;100;48;19;7,4;0,55;Species;50;95;No;;;25° 00' S;53° 28' W;Atlantic Forest;Brazil;Dasyprocta azarae;Plant;;;x;x;x;x;;2018;Brocardo et al. 2018;"Brocardo, C.R.; Pedrosa, F.; Galetti, M. 2018. Forest fragmentation and selective logging affect the seed survival and recruitment of a relictual conifer. Forest Ecology and Management 408, pp. 87-93."
Araucariaceae;Araucaria;Araucaria angustifolia;Accepted;Araucariaceae;Araucaria;angustifolia;Araucaria angustifolia;;140;140;3000;100;48;19;7,4;0,55;Species;50;95;No;9,4;59;28° 14' S;51° 11' W;;Brazil;Dasyprocta azarae;Agouti/Plant;Spool and line;;x;x;x;;;2014;"Ribeiro; Vieira; 2014";"Ribeiro, J.F.; Vieira, E.M. 2014. Interactions between a seed-eating neotropical rodent, the Azara's agouti (Dasyprocta azarae), and the Brazilian 'pine' Araucaria angustifolia. Austral Ecology 39(3), pp. 279-287."
Araucariaceae;Araucaria;Araucaria angustifolia;Accepted;Araucariaceae;Araucaria;angustifolia;Araucaria angustifolia;;140;140;3000;100;48;19;7,4;0,55;Species;50;95;No;;;28° 14' S;51° 11' W;;Brazil;Dasyprocta azarae;Agouti;Visual observation;;x;x;x (4,7%);;;2016;"Ribeiro; Vieira; 2016";"Ribeiro, J.F.; Vieira, E.M. 2016. Microhabitat selection for caching and use of potential landmarks for seed recovery by a neotropical rodent. Journal of Zoology 300(4), pp. 274-280."
Euphorbiaceae;Joannesia;Joannesia princeps;Accepted;Euphorbiaceae;Joannesia;princeps;Joannesia princeps;;75,7;71,7;338;2;25;25;6,3;0,55;Species;30;55;Yes;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;x;x;x;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
Euphorbiaceae;Joannesia;Joannesia princeps;Accepted;Euphorbiaceae;Joannesia;princeps;Joannesia princeps;;75,7;71,7;338;2;25;25;6,3;0,55;Species;30;55;Yes;19,3;71;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Spool and line;2 years;x;x;x;x;;2020;Mittelman et al, 2020;Mittelman, P., Kreischer, C., Pires, A. S., & Fernandez, F. A. Agouti reintroduction recovers seed dispersal of a large?seeded tropical tree. Biotropica.
Calophyllaceae;Calophyllum;Calophyllum longifolium;Accepted;Clusiaceae;Calophyllum;longifolium;Calophyllum longifolium;;;;;;;20;3,7;0,55;Species;36;90;;;;9° 10' N;79° 51' W;Lowland Rain Forest;Panama;Dasyprocta punctata;Mammals / Fragmentation;;;x;x;;;x;2005;"Asquith; Mejia-Chang, 2005";"Asquith, N.M.; Mejia-Chang, M. 2005. Mammals, edge effects, and the loss of tropical forest diversity. Ecology, 86(2), pp. 379-390."
Lauraceae;Ocotea;Ocotea valerioana;Accepted;Lauraceae;Ocotea;valerioana;Ocotea valerioana;;;;;;65;;;0,532;Genus;22;;;;;10° 18' N;84° 48' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Other animals;Visual observation;;;;;;;2009;Chinchilla, 2009;Chinchilla, F.A. 2009. Seed predation by mammals in forest fragments in Monteverde, Costa Rica. Revista de Biologia Tropical 57(3), pp. 865-877.
Lauraceae;Ocotea;Ocotea whitei;Accepted;Lauraceae;Ocotea;whitei;Ocotea whitei;;;;;;40;;7,3;0,532;Genus;52;;;;;10° 18' N;84° 48' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Other animals;Visual observation;;;;;;;2009;Chinchilla, 2009;Chinchilla, F.A. 2009. Seed predation by mammals in forest fragments in Monteverde, Costa Rica. Revista de Biologia Tropical 57(3), pp. 865-877.
Lauraceae;Ocotea;Ocotea endresiana;Accepted;Lauraceae;Ocotea;endresiana;Ocotea endresiana;;;;;;;31;5,29;0,532;Genus;;;;;;8° 47' N;82° 57' W;;Costa Rica;Dasyprocta punctata;;;;x;x;x;x;;2009;Cole (2009);Cole, R. J. (2009). Postdispersal seed fate of tropical montane trees in an agricultural landscape, southern Costa Rica. Biotropica, 41(3), 319-327.
Boraginaceae;Cordia;Cordia bicolor;Accepted;Boraginaceae;Cordia;bicolor;Cordia bicolor;;;;;;;;0,1;0,53;Species;27;;No;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Plant;;;;;;;;2007;Beckman & Muller-Landau (2007);"Beckman, Noelle G.; Muller-Landau, Helene C. 2007 Differential Effects of Hunting On Pre-dispersal Seed Predation and Primary and Secondary Seed Removal of Two Neotropical Tree Species Biotropica"
Meliaceae;Swietenia;Swietenia macrophylla;Accepted;Meliaceae;Swietenia;macrophylla;Swietenia macrophylla;capsule;;;;;;;0,44;0,52;Species;40;;No;;;08° 01' S;59° 33' W;Amazon;Brazil;Dasyprocta leporina;;;;;;;;;1997;Salgado, 1997;Iliana Salgado (1997) Contribution à l'étude de I'éologie de Swietenia macrophylla King (Meliaceae) en Amazonie brésilienne, Acta Botanica Gallica, 144:2, 231-242, DOI: 10.1080/12538078.1997.10515771
Arecaceae;Astrocaryum;Astrocaryum mexicanum;Accepted;Arecaceae;Astrocaryum;mexicanum;Astrocaryum mexicanum;;;;;;62;;17,4;0,51;Species;8;8;;;;;;;Mexico;Dasyprocta punctata;Plant;;;x;x;;;;1997;Martinez-Ramos 1997;Martinez-Ramos, M. I. G. U. E. L. (1997). Astrocaryum mexicanum. Historia Natural de Los Tuxtlas. Universidad Nacional Autonoma de Mexico, San Antonio, 92-96.
Proteaceae;Panopsis;Panopsis costaricensis;Accepted;Proteaceae;Panopsis;costaricensis;Panopsis costaricensis;;;;;;50;;;0,51;Species;;;;;;10° 18' N;84° 48' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Outros animais;Visual observation;;;;;;;2009;Chinchilla, 2009;Chinchilla, F.A. 2009. Seed predation by mammals in forest fragments in Monteverde, Costa Rica. Revista de Biologia Tropical 57(3), pp. 865-877.
Fabaceae;Cassia;Cassia ferruginea;Accepted;Leguminosae;Cassia;ferruginea;Cassia ferruginea;Legume;300;20;;60;8;5;0,07;0,51;Species;15;50;No;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
;Catostemma;Catostemma commune;Accepted;Malvaceae;Catostemma;commune;Catostemma commune;;;;;;;;;0,51;Species;;;;;;1° 59' N;59° 43' W;Amazon;Guyana;Dasyprocta leporina;Plants;;;;;;;;2018;Cummings et al., 2018;Cummings, A. R., Read, J. M., & Fragoso, J. M. (2018). Implications of forest type and land tenure diversity for the sustainability of ecosystem services provided by northern Amazonia’s multiple-use tree species. Landscape ecology, 33(3), 423-438.
Malvaceae;Guazuma;Guazuma ulmifolia;Accepted;Malvaceae;Guazuma;ulmifolia;Guazuma ulmifolia;;;;;;;;0,05;0,5;Species;34;;No;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Moraceae;Artocarpus;Artocarpus heterophyllus;Accepted;Moraceae;Artocarpus;heterophyllus;Artocarpus heterophyllus;;600;325;7000;;32,5;23,5;5,28;0,48;Species;20;;No;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;x;x;x;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
Moraceae;Artocarpus;Artocarpus heterophyllus;Accepted;Moraceae;Artocarpus;heterophyllus;Artocarpus heterophyllus;;600;325;7000;;32,5;23,5;5,28;0,48;Species;20;;No;;;23° 27' S;45° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Line / Visual observation;;x;x;x;;;2010;Galetti et al., 2010;"Galetti, M.; Donatti, C.I.; Steffler, C.; Genini, J.; Bovendorp, R.S.; Fleury, M. 2010. The role of seed mass on the caching decision by agoutis, Dasyprocta leporina (Rodentia: Agoutidae). Zoologia 27(3), pp. 472-476."
Myristicaceae;Virola;Virola surinamensis;Accepted;Myristicaceae;Virola;surinamensis;Virola surinamensis;;;;;;21;16;2,75;0,48;Species;80;;;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Plant;Exclosure;;x;x;;x;;1997;Asquith et al., 1997;"Asquith, N.M.; Wright, S.J.; Clauss, M.J. 1997. Does mammal community composition control recruitment in neotropical forests? Evidence from Panama. Ecology 78(3), pp. 941-946."
Myristicaceae;Virola;Virola surinamensis;Accepted;Myristicaceae;Virola;surinamensis;Virola surinamensis;;;;;;21;16;2,75;0,48;Species;80;;;;;9° 10' N;79° 51' W;Lowland Rain Forest;Panama;Dasyprocta punctata;Mammals / Fragmentation;;;x;x;;;x;2005;"Asquith; Mejia-Chang, 2005";"Asquith, N.M.; Mejia-Chang, M. 2005. Mammals, edge effects, and the loss of tropical forest diversity. Ecology, 86(2), pp. 379-390."
Myristicaceae;Virola;Virola surinamensis;Accepted;Myristicaceae;Virola;surinamensis;Virola surinamensis;;;;;;21;16;2,75;0,48;Species;80;;;;;;;;;Dasyprocta sp.;;;;x;x>;;;;1998;Forget et al., 1998;Forget, P.-M., Milleron, T. & Feer, F. 1998. Patterns in postdispersal seed removal by Neotropical rodents and seed fate in relation with seed size. In: Newbery, D.M., Prins, H.H.T. & Brown, N.D. (eds.) Dynamics of tropical communities, Symposium No. 37 of the British Ecological Society. Blackwell Science, Oxford.
Myristicaceae;Virola;Virola surinamensis;Accepted;Myristicaceae;Virola;surinamensis;Virola surinamensis;;;;;;21;16;2,75;0,48;Species;80;;;;;9° 10' N;79° 51' W;;Panama;Dasyprocta punctata;Agouti/Plant;Line;;x;x;x;x;;1991;"Forget; Milleron, 1991";"Forget, P.-M.; Milleron, T. 1991. Evidence for secondary seed dispersal by rodents in Panama. Oecologia 87(4), pp. 596-599."
Myristicaceae;Virola;Virola surinamensis;Accepted;Myristicaceae;Virola;surinamensis;Virola surinamensis;;;;;;21;16;2,75;0,48;Species;80;91;;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Plant;;;;;;;;1985;Howe et al., 1985;"Howe, H.F.;  Schupp, E.W.; Westley, L.C. 1985. Early Consequences of Seed Dispersal for a Neotropical Tree (Virola surinamensis). Ecology 66(3), pp. 781-791."
Myristicaceae;Virola;Virola surinamensis;Accepted;Myristicaceae;Virola;surinamensis;Virola surinamensis;;;;;;21;16;2,75;0,48;Species;80;91;;4,9;20;9° 10' N;79° 51' W;;Panama;Dasyprocta punctata;Agouti/Plant;Active search / Visual observation;2 meses;x;x;x (2%);;;1987;"Larson; Howe, 1987";"Larson, D.; Howe, H.F. 1987. Seed dispersal and destruction of Virola surinamensis seeds by agoutis: Appearance and reality. J. Mammalogy 68(4), pp. 859-860."
Fabaceae;Inga;Inga sp.;Genus-level;Leguminosae;Inga;sp.;Inga sp.;;15;2,5;;;;;;0,48;Genus;;;No;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2003;"Silvius; Fragoso, 2003";"Silvius, K.M.; Fragoso, J.M.V. 2003. Red-rumped agouti (Dasyprocta leporina) home range use in an Amazonn forest: Implications for the aggregated distribution of forest trees. Biotropica 35(1), pp. 74-83."
Lauraceae;Beilschmiedia;Beilschmiedia pendula;Accepted;Lauraceae;Beilschmiedia;pendula;Beilschmiedia pendula;;;;;;48,55;20,7;4,5;0,47;Species;40;35;Yes;;;10° 12' N;84° 42' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Frugivores;Active search;;N;N;N;;x;2000;Wenny, 2000;Wenny, D.G. 2000. Seed dispersal of a high quality fruit by specialized frugivores: high quality dispersal? Biotropica 32(2): 327-337.
Anarcadiaceae;Spondias;Spondias mombin;Accepted;Anacardiaceae;Spondias;mombin;Spondias mombin;;;;;;28;18;1,56;0,47;Species;35;75;;;;9° 10' N;79° 51' W;;Panama;Dasyprocta punctata;Plant;Armadilha para captura de fruto e semente/Observações sobre o comportamento alimentar dos animais frugívoros locais/Presença de sementes nas fezes/Classificação de diferentes tipos de frutos;;x;x;x;;;1970;Smythe, 1970;Smythe, N. 1970. Relationships between fruiting seasons and seed dispersal methods in a Neotropical Forest. The American Naturalist 104(935), pp. 25-35.
Myristicaceae;Virola;Virola michelii;Accepted;Myristicaceae;Virola;michelii;Virola michelii;capsule;30;25;;;20;14;1,2;0,47;Species;36;;No;;;5° 18' N;52° 53' W;Amazon;French Guiana;Dasyprocta leporina;;;;x;N;;;;2000;Forget et al. (2000);Forget,P.M., Milleron,T., Feer, F., Henry,O.& Dubost,G.(2000). Effects of dispersal pattern and mammalian herbivores on seedling recruitment for Virola michelii (Myristicaceae) in French Guiana. Biotropica 32, 452–462
Myristicaceae;Virola;Virola calophylla;Accepted;Myristicaceae;Virola;calophylla;Virola calophylla;;;;;;17;;1,4;0,47;Species;;;No;;;11° 54' S;71° 18' W;Floodplain forest;Peru;Dasyprocta variegata;Plant;Flagged line;;;;;;;2005;Russo, 2005;Sabrina E. Russo (2005). Linking seed fate to natural dispersal patterns: factors affecting predation and scatter­hoarding of  Virola calophylla seeds in Peru. Journal of Tropical Ecology, 21, pp 243­253 doi:10.1017/S0266467405002312
